index,Date,Traffic
0,8/25/23,571
1,8/24/23,2186
2,8/23/23,977
3,8/22/23,618
4,8/21/23,840
5,8/20/23,778
6,8/19/23,729
7,8/18/23,961
8,8/17/23,660
9,8/16/23,561
10,8/15/23,935
11,8/14/23,806
12,8/13/23,859
13,8/12/23,692
14,8/11/23,545
15,8/10/23,770
16,8/9/23,800
17,8/8/23,2011
18,8/7/23,581
19,8/6/23,780
20,8/5/23,724
21,8/4/23,672
22,8/3/23,866
23,8/2/23,940
24,8/1/23,879
25,7/31/23,2161
26,7/30/23,738
27,7/29/23,874
28,7/28/23,591
29,7/27/23,864
30,7/26/23,840
31,7/25/23,509
32,7/24/23,660
33,7/23/23,727
34,7/22/23,916
35,7/21/23,621
36,7/20/23,870
37,7/19/23,944
38,7/18/23,894
39,7/17/23,1539
40,7/16/23,745
41,7/15/23,997
42,7/14/23,892
43,7/13/23,921
44,7/12/23,894
45,7/11/23,544
46,7/10/23,742
47,7/9/23,577
48,7/8/23,944
49,7/7/23,568
50,7/6/23,689
51,7/5/23,737
52,7/4/23,769
53,7/3/23,559
54,7/2/23,777
55,7/1/23,942
56,6/30/23,621
57,6/29/23,777
58,6/28/23,607
59,6/27/23,619
60,6/26/23,954
61,6/25/23,731
62,6/24/23,530
63,6/23/23,636
64,6/22/23,836
65,6/21/23,640
66,6/20/23,580
67,6/19/23,601
68,6/18/23,710
69,6/17/23,858
70,6/16/23,716
71,6/15/23,897
72,6/14/23,979
73,6/13/23,803
74,6/12/23,690
75,6/11/23,812
76,6/10/23,562
77,6/9/23,1510
78,6/8/23,873
79,6/7/23,725
80,6/6/23,777
81,6/5/23,991
82,6/4/23,807
83,6/3/23,717
84,6/2/23,620
85,6/1/23,533
86,5/31/23,641
87,5/30/23,891
88,5/29/23,652
89,5/28/23,616
90,5/27/23,612
91,5/26/23,856
92,5/25/23,777
93,5/24/23,625
94,5/23/23,956
95,5/22/23,586
96,5/21/23,660
97,5/20/23,866
98,5/19/23,704
99,5/18/23,528